,Año,Cantidad de víctimas,Población Total,Víctimas año anterior,Evolución
0,2016,65,3005929.0,0,-inf
1,2017,56,3025225.33333333,65,13.846153846153847
2,2018,57,3044521.66666666,56,-1.7857142857142858
3,2019,50,3063817.99999999,57,12.280701754385966
4,2020,29,3083114.33333332,50,42.0
5,2021,46,3102410.66666665,29,-58.62068965517241
